  cell  ,E,W,N,S
"(12, 57)",0,0,1,1
"(13, 57)",0,1,1,0
"(14, 57)",0,0,1,0
"(15, 57)",0,0,0,1
"(16, 57)",0,0,0,1
"(17, 57)",0,1,1,1
"(18, 57)",0,0,1,1
"(19, 57)",1,0,1,0
"(20, 57)",0,0,1,1
"(21, 57)",1,0,0,0
"(22, 57)",0,0,1,0
"(23, 57)",0,0,0,0
"(24, 57)",0,0,0,1
"(25, 57)",1,1,0,0
"(26, 57)",0,0,1,1
"(27, 57)",1,0,0,0
"(28, 57)",0,0,1,1
"(29, 57)",0,0,0,1
"(30, 57)",0,0,1,1
"(31, 57)",1,1,1,0
"(1, 58)",1,1,0,0
"(2, 58)",0,1,1,0
"(3, 58)",1,1,0,0
"(4, 58)",1,0,0,0
"(5, 58)",1,1,0,0
"(6, 58)",1,1,0,0
"(7, 58)",1,1,0,0
"(8, 58)",1,0,0,1
"(9, 58)",1,1,0,0
"(10, 58)",0,1,1,0
"(11, 58)",1,1,0,0
"(12, 58)",0,1,0,0
"(13, 58)",1,1,0,0
"(14, 58)",1,0,0,0
"(15, 58)",0,0,0,0
"(16, 58)",1,1,0,0
"(17, 58)",1,1,0,0
"(18, 58)",0,1,0,1
"(19, 58)",0,1,0,0
"(20, 58)",0,0,1,1
"(21, 58)",1,1,0,0
"(22, 58)",1,0,1,0
"(23, 58)",1,0,0,0
"(24, 58)",1,0,0,1
"(25, 58)",1,1,0,0
"(26, 58)",0,0,1,1
"(27, 58)",1,1,0,0
"(28, 58)",1,0,1,0
"(29, 58)",1,1,0,0
"(30, 58)",0,1,0,1
"(31, 58)",1,1,0,0
"(1, 59)",1,1,0,0
"(2, 59)",0,0,1,1
"(3, 59)",0,0,0,1
"(4, 59)",0,0,1,1
"(5, 59)",0,0,1,1
"(6, 59)",0,0,1,1
"(7, 59)",0,0,1,1
"(8, 59)",0,0,1,1
"(9, 59)",1,1,1,0
"(10, 59)",0,0,1,1
"(11, 59)",1,0,0,0
"(12, 59)",0,0,1,1
"(13, 59)",0,0,0,1
"(14, 59)",0,0,1,0
"(15, 59)",0,0,1,1
"(16, 59)",0,0,0,1
"(17, 59)",1,0,1,0
"(18, 59)",0,0,1,0
"(19, 59)",1,1,0,0
"(20, 59)",0,0,0,1
"(21, 59)",0,1,0,1
"(22, 59)",0,0,1,1
"(23, 59)",0,0,1,1
"(24, 59)",0,0,1,1
"(25, 59)",0,1,1,0
"(26, 59)",0,0,1,1
"(27, 59)",1,1,0,1
"(28, 59)",0,0,1,1
"(29, 59)",0,0,1,0
"(30, 59)",0,0,1,1
"(31, 59)",1,1,0,0
"(1, 60)",1,1,0,0
"(2, 60)",1,0,1,0
"(3, 60)",1,1,0,0
"(4, 60)",1,1,0,0
"(5, 60)",1,1,0,0
"(6, 60)",1,1,0,0
"(7, 60)",1,1,0,0
"(8, 60)",0,1,0,1
"(9, 60)",1,1,0,0
"(10, 60)",0,0,1,1
"(11, 60)",1,1,0,0
"(12, 60)",1,0,1,0
"(13, 60)",1,1,0,0
"(14, 60)",1,1,0,0
"(15, 60)",0,0,0,0
"(16, 60)",0,1,0,1
"(17, 60)",0,1,0,0
"(18, 60)",0,0,1,1
"(19, 60)",1,0,0,0
"(20, 60)",1,0,1,0
"(21, 60)",1,1,0,0
"(22, 60)",1,1,0,0
"(23, 60)",1,1,0,0
"(24, 60)",0,1,0,0
"(25, 60)",1,1,0,0
"(26, 60)",1,0,0,1
"(27, 60)",1,1,0,0
"(28, 60)",0,1,1,0
"(29, 60)",1,1,0,0
"(30, 60)",1,0,0,1
"(31, 60)",1,1,0,0
"(1, 61)",1,1,0,1
"(2, 61)",0,0,1,1
"(3, 61)",0,0,1,1
"(4, 61)",0,0,1,1
"(5, 61)",0,0,1,1
"(6, 61)",0,0,1,1
"(7, 61)",0,0,1,0
"(8, 61)",0,0,1,1
"(9, 61)",0,1,0,0
"(10, 61)",0,0,1,1
"(11, 61)",1,1,0,1
"(12, 61)",0,0,1,1
"(13, 61)",0,0,1,1
"(14, 61)",0,0,1,0
"(15, 61)",0,0,1,0
"(16, 61)",0,0,0,0
"(17, 61)",1,1,0,0
"(18, 61)",0,0,0,1
"(19, 61)",1,1,0,1
"(20, 61)",0,0,1,1
"(21, 61)",0,0,1,1
"(22, 61)",0,0,1,1
"(23, 61)",0,0,1,0
"(24, 61)",0,0,1,1
"(25, 61)",0,0,0,1
"(26, 61)",0,0,1,1
"(27, 61)",0,1,1,0
"(28, 61)",0,0,1,1
"(29, 61)",0,0,0,1
"(30, 61)",0,0,1,1
"(31, 61)",1,1,1,0
"(1, 62)",1,1,0,0
"(2, 62)",0,1,1,0
"(3, 62)",1,1,0,0
"(4, 62)",0,1,0,0
"(5, 62)",0,1,0,0
"(6, 62)",1,1,0,0
"(7, 62)",1,1,0,0
"(8, 62)",0,0,0,0
"(9, 62)",1,1,0,0
"(10, 62)",0,0,0,1
"(11, 62)",1,1,0,0
"(12, 62)",0,1,1,0
"(13, 62)",1,1,0,0
"(14, 62)",1,1,0,0
"(15, 62)",1,0,0,0
"(16, 62)",1,0,0,1
"(17, 62)",1,0,0,0
"(18, 62)",0,0,1,1
"(19, 62)",1,1,0,0
"(20, 62)",0,1,1,0
"(21, 62)",1,1,0,0
"(22, 62)",0,1,0,0
"(23, 62)",0,1,0,0
"(24, 62)",1,0,0,0
"(25, 62)",1,1,0,0
"(26, 62)",0,1,0,0
"(27, 62)",1,1,0,0
"(28, 62)",1,0,0,0
"(29, 62)",1,1,0,0
"(30, 62)",0,1,0,1
"(31, 62)",1,1,0,0
"(1, 63)",1,1,0,0
"(2, 63)",0,0,1,1
"(3, 63)",1,0,0,0
"(4, 63)",0,0,1,0
"(5, 63)",0,0,0,1
"(6, 63)",0,0,0,1
"(7, 63)",0,0,1,0
"(8, 63)",0,0,1,1
"(9, 63)",1,0,0,0
"(10, 63)",0,0,1,1
"(11, 63)",1,1,0,0
"(12, 63)",0,0,1,1
"(13, 63)",0,0,0,1
"(14, 63)",0,0,1,1
"(15, 63)",0,0,1,1
"(16, 63)",0,0,1,1
"(17, 63)",1,1,1,0
"(18, 63)",0,0,1,1
"(19, 63)",0,1,0,0
"(20, 63)",0,0,1,1
"(21, 63)",1,0,0,0
"(22, 63)",0,0,1,0
"(23, 63)",0,0,0,1
"(24, 63)",0,0,0,1
"(25, 63)",0,0,1,0
"(26, 63)",0,0,1,1
"(27, 63)",0,0,0,1
"(28, 63)",0,0,1,1
"(29, 63)",0,0,1,0
"(30, 63)",0,0,1,1
"(31, 63)",1,1,0,0
"(1, 64)",1,1,0,0
"(2, 64)",0,0,1,1
"(3, 64)",1,1,0,0
"(4, 64)",0,0,1,0
"(5, 64)",0,0,0,0
"(6, 64)",0,1,0,0
"(7, 64)",1,1,0,0
"(8, 64)",1,0,0,1
"(9, 64)",1,1,0,0
"(10, 64)",0,0,1,1
"(11, 64)",1,1,0,0
"(12, 64)",1,0,1,0
"(13, 64)",1,1,0,0
"(14, 64)",1,1,0,0
"(15, 64)",1,1,0,0
"(16, 64)",0,1,0,1
"(17, 64)",1,1,0,0
"(18, 64)",0,0,1,0
"(19, 64)",0,1,0,0
"(20, 64)",0,0,0,1
"(21, 64)",1,1,0,0
"(22, 64)",0,0,1,0
"(23, 64)",1,0,0,0
"(24, 64)",1,1,0,0
"(25, 64)",1,1,0,0
"(26, 64)",1,0,0,0
"(27, 64)",0,1,0,0
"(28, 64)",0,1,0,0
"(29, 64)",1,1,0,0
"(30, 64)",0,0,0,1
"(31, 64)",1,1,0,0
"(1, 65)",1,1,0,0
"(2, 65)",0,0,1,1
"(3, 65)",1,1,0,0
"(4, 65)",0,0,1,0
"(5, 65)",0,0,0,0
"(6, 65)",0,0,0,1
"(7, 65)",1,0,0,1
"(8, 65)",0,0,1,1
"(9, 65)",0,1,1,0
"(10, 65)",0,0,1,1
"(11, 65)",0,1,0,1
"(12, 65)",0,0,1,1
"(13, 65)",1,0,1,1
"(14, 65)",0,0,1,1
"(15, 65)",0,0,1,0
"(16, 65)",0,0,1,1
"(17, 65)",1,1,0,0
"(18, 65)",0,0,1,0
"(19, 65)",0,0,0,0
"(20, 65)",0,0,0,1
"(21, 65)",1,1,0,0
"(22, 65)",0,0,1,1
"(23, 65)",1,0,0,1
"(24, 65)",0,0,1,1
"(25, 65)",0,0,1,1
"(26, 65)",0,0,1,0
"(27, 65)",0,0,1,0
"(28, 65)",0,0,0,1
"(29, 65)",1,0,0,0
"(30, 65)",0,0,1,1
"(31, 65)",1,1,0,0
"(1, 66)",1,1,0,0
"(2, 66)",0,0,1,1
"(3, 66)",1,1,0,0
"(4, 66)",1,0,1,0
"(5, 66)",1,0,0,0
"(6, 66)",1,0,0,1
"(7, 66)",1,1,0,0
"(8, 66)",0,1,1,0
"(9, 66)",1,1,0,0
"(10, 66)",1,0,0,0
"(11, 66)",1,1,0,0
"(12, 66)",1,1,0,1
"(13, 66)",1,1,0,0
"(14, 66)",0,1,1,0
"(15, 66)",1,1,0,0
"(16, 66)",0,0,0,1
"(17, 66)",1,1,0,0
"(18, 66)",1,0,1,0
"(19, 66)",0,0,0,0
"(20, 66)",1,0,0,1
"(21, 66)",1,1,0,0
"(22, 66)",0,0,1,1
"(23, 66)",0,1,0,0
"(24, 66)",0,1,1,0
"(25, 66)",1,1,0,0
"(26, 66)",0,1,0,0
"(27, 66)",1,0,0,0
"(28, 66)",0,0,0,1
"(29, 66)",1,1,0,0
"(30, 66)",0,0,1,1
"(31, 66)",1,1,0,0
"(1, 67)",1,1,0,0
"(2, 67)",0,0,1,1
"(3, 67)",0,1,0,1
"(4, 67)",0,0,1,1
"(5, 67)",0,0,1,1
"(6, 67)",0,0,1,1
"(7, 67)",0,1,1,0
"(8, 67)",0,0,1,1
"(9, 67)",1,0,0,1
"(10, 67)",0,0,1,1
"(11, 67)",1,0,1,1
"(12, 67)",0,0,1,1
"(13, 67)",0,1,1,0
"(14, 67)",0,0,1,1
"(15, 67)",1,0,0,0
"(16, 67)",0,0,1,1
"(17, 67)",1,1,0,1
"(18, 67)",0,0,1,0
"(19, 67)",0,0,1,1
"(20, 67)",0,0,0,1
"(21, 67)",0,1,1,0
"(22, 67)",0,0,1,0
"(23, 67)",1,1,0,0
"(24, 67)",0,0,0,1
"(25, 67)",1,0,0,0
"(26, 67)",0,0,1,1
"(27, 67)",0,0,0,0
"(28, 67)",0,0,1,1
"(29, 67)",1,1,0,0
"(30, 67)",0,0,1,1
"(31, 67)",1,1,0,0
"(1, 68)",1,1,0,0
"(2, 68)",0,0,1,0
"(3, 68)",1,1,0,0
"(4, 68)",1,1,0,0
"(5, 68)",1,1,0,0
"(6, 68)",1,1,0,0
"(7, 68)",1,1,0,0
"(8, 68)",1,0,0,1
"(9, 68)",1,1,0,0
"(10, 68)",0,1,1,1
"(11, 68)",1,1,0,0
"(12, 68)",0,1,1,0
"(13, 68)",1,1,0,0
"(14, 68)",1,0,0,1
"(15, 68)",1,1,0,0
"(16, 68)",0,0,1,1
"(17, 68)",1,1,0,0
"(18, 68)",0,1,1,0
"(19, 68)",0,0,0,0
"(20, 68)",0,1,0,0
"(21, 68)",1,1,0,0
"(22, 68)",1,0,0,1
"(23, 68)",1,0,0,0
"(24, 68)",0,0,1,1
"(25, 68)",1,1,0,0
"(26, 68)",0,0,1,0
"(27, 68)",1,1,0,0
"(28, 68)",1,0,0,1
"(29, 68)",1,1,0,0
"(30, 68)",0,0,1,1
"(31, 68)",1,1,0,0
"(1, 69)",1,1,0,0
"(2, 69)",0,0,1,1
"(3, 69)",1,0,0,1
"(4, 69)",0,0,1,1
"(5, 69)",0,0,1,1
"(6, 69)",0,0,1,1
"(7, 69)",0,0,1,1
"(8, 69)",0,0,1,1
"(9, 69)",0,1,1,0
"(10, 69)",0,0,1,1
"(11, 69)",0,1,0,0
"(12, 69)",0,0,1,1
"(13, 69)",0,0,0,1
"(14, 69)",0,0,1,1
"(15, 69)",1,1,1,0
"(16, 69)",0,0,1,1
"(17, 69)",1,1,0,0
"(18, 69)",0,0,1,0
"(19, 69)",0,0,0,0
"(20, 69)",0,0,0,1
"(21, 69)",1,0,0,1
"(22, 69)",0,0,1,1
"(23, 69)",0,1,1,0
"(24, 69)",0,0,1,1
"(25, 69)",0,1,0,0
"(26, 69)",0,0,1,1
"(27, 69)",0,0,0,1
"(28, 69)",0,0,1,1
"(29, 69)",0,1,1,0
"(30, 69)",0,0,1,1
"(31, 69)",1,1,0,0
"(1, 70)",1,1,0,0
"(2, 70)",0,0,1,1
"(3, 70)",1,1,0,0
"(4, 70)",1,1,1,0
"(5, 70)",1,1,0,0
"(6, 70)",0,1,0,0
"(7, 70)",1,1,0,0
"(8, 70)",1,1,0,0
"(9, 70)",1,1,0,0
"(10, 70)",1,0,0,0
"(11, 70)",1,1,0,0
"(12, 70)",0,0,0,0
"(13, 70)",1,1,0,0
"(14, 70)",0,1,0,1
"(15, 70)",0,1,0,0
"(16, 70)",0,0,1,1
"(17, 70)",1,1,0,0
"(18, 70)",0,0,1,0
"(19, 70)",0,0,0,0
"(20, 70)",0,0,0,1
"(21, 70)",1,1,0,0
"(22, 70)",1,1,1,0
"(23, 70)",1,1,0,0
"(24, 70)",1,0,0,0
"(25, 70)",1,1,0,0
"(26, 70)",0,0,0,0
"(27, 70)",1,1,0,0
"(28, 70)",0,1,0,0
"(29, 70)",1,1,0,0
"(30, 70)",1,0,0,1
"(31, 70)",1,1,0,0
"(1, 71)",1,1,0,0
"(2, 71)",0,0,1,1
"(3, 71)",0,1,0,1
"(4, 71)",0,0,1,1
"(5, 71)",0,0,1,0
"(6, 71)",0,0,1,1
"(7, 71)",1,0,0,1
"(8, 71)",0,0,1,1
"(9, 71)",1,0,1,1
"(10, 71)",0,0,1,1
"(11, 71)",1,0,1,0
"(12, 71)",0,0,1,1
"(13, 71)",1,0,0,0
"(14, 71)",0,0,1,0
"(15, 71)",1,1,0,0
"(16, 71)",0,0,0,1
"(17, 71)",0,1,0,0
"(18, 71)",0,0,1,0
"(19, 71)",1,0,0,0
"(20, 71)",0,0,0,1
"(21, 71)",0,1,0,1
"(22, 71)",0,0,1,1
"(23, 71)",1,0,1,1
"(24, 71)",0,0,1,1
"(25, 71)",0,0,1,0
"(26, 71)",0,0,1,1
"(27, 71)",1,0,0,0
"(28, 71)",0,0,1,1
"(29, 71)",0,0,0,1
"(30, 71)",0,0,1,1
"(31, 71)",1,1,1,0
"(1, 72)",1,1,0,0
"(2, 72)",0,0,1,0
"(3, 72)",1,1,0,0
"(4, 72)",1,1,0,0
"(5, 72)",1,1,0,0
"(6, 72)",1,0,0,1
"(7, 72)",1,1,0,0
"(8, 72)",0,1,1,1
"(9, 72)",1,1,0,0
"(10, 72)",0,1,1,1
"(11, 72)",1,1,0,0
"(12, 72)",1,0,1,1
"(13, 72)",1,1,0,0
"(14, 72)",0,0,1,1
"(15, 72)",1,0,0,0
"(16, 72)",0,0,1,0
"(17, 72)",1,1,0,0
"(18, 72)",1,0,0,1
"(19, 72)",1,0,0,0
"(20, 72)",1,0,1,0
"(21, 72)",1,1,0,0
"(22, 72)",0,1,0,1
"(23, 72)",1,1,0,0
"(24, 72)",0,1,1,0
"(25, 72)",1,1,0,0
"(26, 72)",1,0,0,1
"(27, 72)",1,1,0,0
"(28, 72)",1,0,1,0
"(29, 72)",1,1,0,0
"(30, 72)",0,1,0,1
"(31, 72)",1,1,0,0
"(1, 73)",1,1,0,0
"(2, 73)",0,0,1,1
"(3, 73)",1,0,0,1
"(4, 73)",0,0,1,1
"(5, 73)",0,0,1,1
"(6, 73)",0,0,1,1
"(7, 73)",0,1,1,0
"(8, 73)",0,0,1,1
"(9, 73)",1,1,0,0
"(10, 73)",0,0,1,1
"(11, 73)",0,1,0,1
"(12, 73)",0,0,1,1
"(13, 73)",0,1,1,0
"(14, 73)",0,0,1,1
"(15, 73)",1,1,0,0
"(16, 73)",0,0,1,1
"(17, 73)",1,0,0,1
"(18, 73)",0,0,1,1
"(19, 73)",0,1,1,1
"(20, 73)",0,0,1,1
"(21, 73)",1,0,1,0
"(22, 73)",0,0,1,1
"(23, 73)",0,1,0,0
"(24, 73)",0,0,1,1
"(25, 73)",1,0,0,1
"(26, 73)",0,0,1,1
"(27, 73)",0,1,1,1
"(28, 73)",0,0,1,1
"(29, 73)",1,0,1,0
"(30, 73)",0,0,1,1
"(31, 73)",1,1,0,0
"(1, 74)",1,1,0,0
"(2, 74)",0,0,1,1
"(3, 74)",1,1,0,0
"(4, 74)",0,1,1,0
"(5, 74)",1,1,0,0
"(6, 74)",1,1,0,0
"(7, 74)",1,1,0,0
"(8, 74)",1,0,0,1
"(9, 74)",1,1,0,0
"(10, 74)",1,0,1,0
"(11, 74)",1,1,0,0
"(12, 74)",1,1,0,0
"(13, 74)",1,1,0,0
"(14, 74)",1,0,0,1
"(15, 74)",1,1,0,0
"(16, 74)",1,0,1,1
"(17, 74)",1,1,0,0
"(18, 74)",0,1,1,0
"(19, 74)",1,1,0,0
"(20, 74)",0,1,0,1
"(21, 74)",1,1,0,0
"(22, 74)",1,0,1,0
"(23, 74)",1,1,0,0
"(24, 74)",1,0,0,1
"(25, 74)",1,1,0,0
"(26, 74)",0,1,1,0
"(27, 74)",1,1,0,0
"(28, 74)",1,1,0,1
"(29, 74)",1,1,0,0
"(30, 74)",0,0,1,1
"(31, 74)",1,1,0,0
"(1, 75)",1,1,0,0
"(2, 75)",0,0,1,1
"(3, 75)",1,1,0,0
"(4, 75)",0,0,1,1
"(5, 75)",1,0,0,1
"(6, 75)",0,0,1,1
"(7, 75)",0,0,1,1
"(8, 75)",0,0,1,1
"(9, 75)",0,1,1,1
"(10, 75)",0,0,1,1
"(11, 75)",0,0,1,1
"(12, 75)",0,0,1,1
"(13, 75)",0,0,1,1
"(14, 75)",0,0,1,1
"(15, 75)",0,1,1,1
"(16, 75)",0,0,1,1
"(17, 75)",0,1,1,0
"(18, 75)",0,0,1,1
"(19, 75)",1,0,0,0
"(20, 75)",0,0,1,1
"(21, 75)",0,1,0,1
"(22, 75)",0,0,1,1
"(23, 75)",0,0,1,1
"(24, 75)",0,0,1,1
"(25, 75)",0,1,1,0
"(26, 75)",0,0,1,1
"(27, 75)",0,0,0,1
"(28, 75)",0,0,1,1
"(29, 75)",0,1,1,0
"(30, 75)",0,0,1,1
"(31, 75)",1,1,0,0
"(1, 76)",1,1,0,0
"(2, 76)",1,0,1,1
"(3, 76)",1,1,0,0
"(4, 76)",0,0,1,1
"(5, 76)",1,1,0,0
"(6, 76)",0,1,1,0
"(7, 76)",1,1,0,0
"(8, 76)",1,1,0,0
"(9, 76)",1,1,0,0
"(10, 76)",1,1,0,0
"(11, 76)",1,1,0,0
"(12, 76)",1,1,0,0
"(13, 76)",1,1,0,0
"(14, 76)",1,1,0,0
"(15, 76)",1,1,0,0
"(16, 76)",1,1,0,0
"(17, 76)",1,1,0,0
"(18, 76)",1,0,0,1
"(19, 76)",1,1,0,0
"(20, 76)",1,0,1,0
"(21, 76)",1,1,0,0
"(22, 76)",1,1,0,0
"(23, 76)",1,1,0,0
"(24, 76)",0,1,0,0
"(25, 76)",1,1,0,0
"(26, 76)",1,0,0,0
"(27, 76)",1,1,0,0
"(28, 76)",0,1,0,0
"(29, 76)",1,1,0,0
"(30, 76)",1,0,0,1
"(31, 76)",1,1,0,0
"(1, 77)",1,1,0,1
"(2, 77)",0,0,1,1
"(3, 77)",0,1,1,0
"(4, 77)",0,0,1,1
"(5, 77)",0,1,0,0
"(6, 77)",0,0,1,1
"(7, 77)",1,0,0,1
"(8, 77)",0,0,1,1
"(9, 77)",0,0,1,1
"(10, 77)",0,0,1,1
"(11, 77)",0,0,1,1
"(12, 77)",0,0,1,1
"(13, 77)",0,0,1,1
"(14, 77)",0,0,1,1
"(15, 77)",1,0,1,1
"(16, 77)",0,0,1,1
"(17, 77)",0,0,1,1
"(18, 77)",0,0,1,1
"(19, 77)",0,1,1,1
"(20, 77)",0,0,1,1
"(21, 77)",0,0,1,1
"(22, 77)",0,0,1,1
"(23, 77)",1,0,1,0
"(24, 77)",0,0,1,1
"(25, 77)",0,0,0,1
"(26, 77)",0,0,1,1
"(27, 77)",0,0,1,0
"(28, 77)",0,0,1,1
"(29, 77)",1,0,0,1
"(30, 77)",0,0,1,1
"(31, 77)",1,1,1,0
"(1, 78)",1,1,0,0
"(2, 78)",0,1,1,0
"(3, 78)",1,1,0,0
"(4, 78)",1,0,0,0
"(5, 78)",1,1,0,0
"(6, 78)",1,0,0,1
"(7, 78)",1,1,0,0
"(8, 78)",1,1,1,0
"(9, 78)",1,1,0,0
"(10, 78)",1,1,0,0
"(11, 78)",1,1,0,0
"(12, 78)",0,1,0,0
"(13, 78)",1,1,0,0
"(14, 78)",0,1,0,1
"(15, 78)",1,1,0,0
"(16, 78)",0,1,1,0
"(17, 78)",1,1,0,0
"(18, 78)",1,1,0,0
"(19, 78)",1,1,0,0
"(20, 78)",1,1,0,0
"(21, 78)",1,1,0,0
"(22, 78)",0,1,0,1
"(23, 78)",1,1,0,0
"(24, 78)",0,0,1,0
"(25, 78)",1,1,0,0
"(26, 78)",1,1,0,0
"(27, 78)",1,1,0,0
"(28, 78)",0,0,0,1
"(29, 78)",1,1,0,0
"(30, 78)",0,1,1,1
"(31, 78)",1,1,0,0
"(1, 79)",1,1,0,0
"(2, 79)",0,0,1,1
"(3, 79)",0,0,0,1
"(4, 79)",0,0,1,1
"(5, 79)",0,0,1,1
"(6, 79)",0,0,1,1
"(7, 79)",0,1,1,1
"(8, 79)",0,0,1,1
"(9, 79)",0,0,1,1
"(10, 79)",0,0,1,1
"(11, 79)",0,0,1,0
"(12, 79)",0,0,1,1
"(13, 79)",1,0,0,0
"(14, 79)",0,0,1,1
"(15, 79)",0,1,0,0
"(16, 79)",0,0,1,1
"(17, 79)",1,0,0,1
"(18, 79)",0,0,1,1
"(19, 79)",0,0,1,1
"(20, 79)",0,0,1,1
"(21, 79)",0,0,1,0
"(22, 79)",0,0,1,1
"(23, 79)",0,1,0,0
"(24, 79)",0,0,1,1
"(25, 79)",1,0,0,1
"(26, 79)",0,0,1,1
"(27, 79)",0,0,1,0
"(28, 79)",0,0,1,1
"(29, 79)",0,1,0,0
"(30, 79)",0,0,1,1
"(31, 79)",1,1,0,0
"(1, 80)",1,1,0,0
"(2, 80)",1,0,1,0
"(3, 80)",1,1,0,0
"(4, 80)",1,1,0,0
"(5, 80)",1,1,0,0
"(6, 80)",1,1,0,0
"(7, 80)",1,1,0,0
"(8, 80)",1,1,0,0
"(9, 80)",1,1,0,0
"(10, 80)",1,1,0,0
"(11, 80)",1,1,0,0
"(12, 80)",1,0,0,1
"(13, 80)",1,1,0,0
"(14, 80)",1,0,1,0
"(15, 80)",1,1,0,0
"(16, 80)",1,0,0,1
"(17, 80)",1,1,0,0
"(18, 80)",1,1,1,0
"(19, 80)",1,1,0,0
"(20, 80)",1,1,0,0
"(21, 80)",1,1,0,0
"(22, 80)",1,0,0,0
"(23, 80)",1,1,0,0
"(24, 80)",1,0,0,1
"(25, 80)",1,1,0,0
"(26, 80)",1,1,1,0
"(27, 80)",1,1,0,0
"(28, 80)",1,0,0,0
"(29, 80)",1,1,0,0
"(30, 80)",1,0,0,1
"(31, 80)",1,1,0,0
"(1, 81)",0,1,0,1
"(2, 81)",0,0,1,1
"(3, 81)",0,0,1,1
"(4, 81)",0,0,1,1
"(5, 81)",0,0,1,1
"(6, 81)",0,0,1,1
"(7, 81)",0,0,1,1
"(8, 81)",0,0,1,1
"(9, 81)",0,0,1,1
"(10, 81)",0,0,1,1
"(11, 81)",0,0,1,1
"(12, 81)",0,0,1,1
"(13, 81)",0,1,1,1
"(14, 81)",0,0,1,1
"(15, 81)",0,0,1,1
"(16, 81)",0,0,1,1
"(17, 81)",0,1,1,1
"(18, 81)",0,0,1,1
"(19, 81)",0,0,1,1
"(20, 81)",0,0,1,1
"(21, 81)",0,0,1,1
"(22, 81)",0,0,1,1
"(23, 81)",0,0,1,1
"(24, 81)",0,0,1,1
"(25, 81)",0,1,1,1
"(26, 81)",0,0,1,1
"(27, 81)",0,0,1,1
"(28, 81)",0,0,1,1
"(29, 81)",0,0,1,1
"(30, 81)",0,0,1,1
"(31, 81)",0,1,1,0
